Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Trey Lyles (11695263),Trey Lyles,11695263,SF/PF/F/UTIL,3700,DEN@OKC 11/24/2018 08:00PM ET,DEN,19.92
SG/SF,Marco Belinelli (11695274),Marco Belinelli,11695274,SG/SF/F/G/UTIL,3600,SA@MIL 11/24/2018 08:30PM ET,SA,16.67
C,Pau Gasol (11695287),Pau Gasol,11695287,C/UTIL,3600,SA@MIL 11/24/2018 08:30PM ET,SA,21.64
PG,Shaquille Harrison (11695279),Shaquille Harrison,11695279,PG/G/UTIL,3600,CHI@MIN 11/24/2018 08:00PM ET,CHI,19.2
SG/SF,Iman Shumpert (11695282),Iman Shumpert,11695282,SG/SF/F/G/UTIL,3600,SAC@GS 11/24/2018 08:30PM ET,SAC,20.28
SF/PF,Carmelo Anthony (11695293),Carmelo Anthony,11695293,SF/PF/F/UTIL,3500,HOU@CLE 11/24/2018 07:30PM ET,HOU,23.75
SF,Gary Clark (11695301),Gary Clark,11695301,SF/F/UTIL,3500,HOU@CLE 11/24/2018 07:30PM ET,HOU,11.45
PG/SG,Patty Mills (11695297),Patty Mills,11695297,PG/SG/G/UTIL,3500,SA@MIL 11/24/2018 08:30PM ET,SA,19.57
SG/SF,Pat Connaughton (11695304),Pat Connaughton,11695304,SG/SF/F/G/UTIL,3500,SA@MIL 11/24/2018 08:30PM ET,MIL,17.95
PG/SG,Tomas Satoransky (11695289),Tomas Satoransky,11695289,PG/SG/G/UTIL,3500,NO@WAS 11/24/2018 08:00PM ET,WAS,12.36
SG/SF,Andre Iguodala (11695309),Andre Iguodala,11695309,SG/SF/F/G/UTIL,3500,SAC@GS 11/24/2018 08:30PM ET,GS,14.99
SG/SF,Gerald Green (11695318),Gerald Green,11695318,SG/SF/F/G/UTIL,3400,HOU@CLE 11/24/2018 07:30PM ET,HOU,11.23
SG/SF,J.R. Smith (11695341),J.R. Smith,11695341,SG/SF/F/G/UTIL,3400,HOU@CLE 11/24/2018 07:30PM ET,CLE,14.23
PF/C,Ersan Ilyasova (11695323),Ersan Ilyasova,11695323,PF/C/F/UTIL,3400,SA@MIL 11/24/2018 08:30PM ET,MIL,18.10
C,Thomas Bryant (11695327),Thomas Bryant,11695327,C/UTIL,3400,NO@WAS 11/24/2018 08:00PM ET,WAS,10.22
PG,Tyus Jones (11695329),Tyus Jones,11695329,PG/G/UTIL,3400,CHI@MIN 11/24/2018 08:00PM ET,MIN,13.12
SG,Josh Okogie (11695332),Josh Okogie,11695332,SG/G/UTIL,3400,CHI@MIN 11/24/2018 08:00PM ET,MIN,17.07
PG/SG,Devin Harris (11695314),Devin Harris,11695314,PG/SG/G/UTIL,3400,BOS@DAL 11/24/2018 08:30PM ET,DAL,13.54
PF/C,Dwight Powell (11695335),Dwight Powell,11695335,PF/C/F/UTIL,3400,BOS@DAL 11/24/2018 08:30PM ET,DAL,17.67
C,Nerlens Noel (11695339),Nerlens Noel,11695339,C/UTIL,3400,DEN@OKC 11/24/2018 08:00PM ET,OKC,16.41
PF,Isaiah Hartenstein (11695346),Isaiah Hartenstein,11695346,PF/F/UTIL,3300,HOU@CLE 11/24/2018 07:30PM ET,HOU,6.92
