Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
PF,Chimezie Metu (11615903),Chimezie Metu,11615903,PF/F/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SA,4.25,0.141666667
PG/SG,Jordan McRae (11615704),Jordan McRae,11615704,PG/SG/G/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,WAS,4,0.133333333
PG/SG,Yuta Watanabe (11615785),Yuta Watanabe,11615785,PG/SG/G/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,MEM,4,0.133333333
C,Ekpe Udoh (11615805),Ekpe Udoh,11615805,C/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,3.97,0.132333333
SG,Theo Pinson (11615751),Theo Pinson,11615751,SG/G/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,BKN,3.88,0.129333333
SG/SF,Treveon Graham (11615744),Treveon Graham,11615744,SG/SF/F/G/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,BKN,3.75,0.125
SG/SF,C.J. Williams (11615769),C.J. Williams,11615769,SG/SF/F/G/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,MIN,3.5,0.116666667
SF,Marcus Derrickson (11615688),Marcus Derrickson,11615688,SF/F/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,GS,3.25,0.108333333
SG/SF,Ben McLemore (11615920),Ben McLemore,11615920,SG/SF/F/G/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SAC,3,0.1
SG,Deonte Burton (11615883),Deonte Burton,11615883,SG/G/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,OKC,2.92,0.097333333
SG,Jacob Evans III (11615685),Jacob Evans III,11615685,SG/G/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,GS,2.75,0.091666667
PF,Dragan Bender (11615889),Dragan Bender,11615889,PF/F/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,PHO,2.31,0.077
